seed,initialization_strategy,architecture,depth,target,topology,operator_family,training_rmse,heldout_rmse,best_loss,hardened_expression,tree_signature,structural_match,failure_type,nan_restarts,wall_seconds
170,uniform,eq6,4,d4_T4,RR,EML,5.143435e+04,1.254413e+00,0.00025766012127147815,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, x, 1, f, f, f, 1, 1, 1, x, f, x, f, f |   Leaf routing:     1, x, x, y, 1, 1, 1, y, x, y, 1, x, 1, y, y, y","internal=[1, x, 1, f, f, f, 1, 1, 1, x, f, x, f, f] leaves=[1, x, x, y, 1, 1, 1, y, x, y, 1, x, 1, y, y, y]",no,training_failure,0,23.74
171,uniform,eq6,4,d4_T4,RR,EML,5.143435e+04,1.836125e+00,0.00036329863228994747,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, x, f, f, f, 1, x, 1, 1, f, x, f, f |   Leaf routing:     1, x, x, y, x, 1, y, x, 1, y, 1, x, 1, y, x, y","internal=[1, f, x, f, f, f, 1, x, 1, 1, f, x, f, f] leaves=[1, x, x, y, x, 1, y, x, 1, y, 1, x, 1, y, x, y]",no,training_failure,0,23.21
172,uniform,eq6,4,d4_T4,RR,EML,0.000000e+00,0.000000e+00,0.0,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, f, f, 1, 1, 1, 1, 1, f, f, f |   Leaf routing:     1, x, x, 1, x, y, 1, x, x, y, 1, x, 1, y, x, y","internal=[1, f, 1, f, f, f, 1, 1, 1, 1, 1, f, f, f] leaves=[1, x, x, 1, x, y, 1, x, x, y, 1, x, 1, y, x, y]",yes,exact,0,22.17
173,uniform,eq6,4,d4_T4,RR,EML,8.298804e-01,7.833690e-01,0.00018830000611306456,"EML Master Formula (depth=4, params=90) |   Internal routing: x, f, x, f, f, f, 1, 1, f, x, 1, f, 1, f |   Leaf routing:     1, x, x, y, x, y, y, x, x, y, y, x, 1, y, x, y","internal=[x, f, x, f, f, f, 1, 1, f, x, 1, f, 1, f] leaves=[1, x, x, y, x, y, y, x, x, y, y, x, 1, y, x, y]",no,training_failure,0,22.29
174,uniform,eq6,4,d4_T4,RR,EML,2.357018e+05,2.329487e+00,0.0004995129819445816,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, x, f, f, 1, 1, 1, 1, f, x, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, x, 1, y, 1, y, 1, x, x, 1","internal=[1, f, 1, x, f, f, 1, 1, 1, 1, f, x, f, f] leaves=[1, x, x, 1, x, 1, 1, x, 1, y, 1, y, 1, x, x, 1]",no,training_failure,0,21.46
175,uniform,eq6,4,d4_T4,RR,EML,7.297027e-01,7.435839e-01,0.00046639212749008174,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, x, f, f, f, 1, 1, f, x, 1, x, f, f |   Leaf routing:     1, x, x, 1, x, 1, y, x, 1, y, 1, x, 1, x, y, 1","internal=[1, f, x, f, f, f, 1, 1, f, x, 1, x, f, f] leaves=[1, x, x, 1, x, 1, y, x, 1, y, 1, x, 1, x, y, 1]",no,training_failure,0,21.4
176,uniform,eq6,4,d4_T4,RR,EML,7.452755e-02,1.471912e-01,0.00030184355835464235,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, x, f, f, f, 1, x, 1, 1, 1, f, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y, x, y, y, x, 1, x, x, 1","internal=[1, f, x, f, f, f, 1, x, 1, 1, 1, f, f, f] leaves=[1, x, x, 1, x, 1, 1, y, x, y, y, x, 1, x, x, 1]",no,hardening_failure,0,22.71
177,uniform,eq6,4,d4_T4,RR,EML,7.452755e-02,1.471912e-01,0.0003531992613607905,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, 1, f, 1, 1, 1, 1, 1, f, f, f |   Leaf routing:     1, x, x, 1, 1, 1, 1, x, x, y, x, x, 1, x, x, 1","internal=[1, f, 1, f, 1, f, 1, 1, 1, 1, 1, f, f, f] leaves=[1, x, x, 1, 1, 1, 1, x, x, y, x, x, 1, x, x, 1]",no,hardening_failure,0,21.16
178,uniform,eq6,4,d4_T4,RR,EML,8.298804e-01,7.833690e-01,0.00029747043032074235,"EML Master Formula (depth=4, params=90) |   Internal routing: x, f, 1, x, f, f, 1, 1, 1, x, 1, x, 1, f |   Leaf routing:     1, x, x, 1, x, 1, 1, x, x, y, x, x, 1, x, x, 1","internal=[x, f, 1, x, f, f, 1, 1, 1, x, 1, x, 1, f] leaves=[1, x, x, 1, x, 1, 1, x, x, y, x, x, 1, x, x, 1]",no,training_failure,0,20.44
179,uniform,eq6,4,d4_T4,RR,EML,5.143435e+04,1.238451e+00,0.00025535614109048406,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, f, f, 1, x, 1, x, f, 1, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y, x, y, 1, x, 1, y, x, x","internal=[1, f, 1, f, f, f, 1, x, 1, x, f, 1, f, f] leaves=[1, x, x, 1, x, 1, 1, y, x, y, 1, x, 1, y, x, x]",no,training_failure,0,23.79
180,uniform,eq6,4,d4_T4,RR,EML,8.298804e-01,7.833690e-01,0.0006926987199804499,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, x, 1, f, 1, x, 1, x, 1, f, 1, f |   Leaf routing:     1, x, x, 1, x, 1, 1, x, 1, y, x, x, 1, x, x, y","internal=[1, f, 1, x, 1, f, 1, x, 1, x, 1, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, x, 1, y, x, x, 1, x, x, y]",no,training_failure,0,20.72
181,uniform,eq6,4,d4_T4,RR,EML,5.143435e+04,1.238451e+00,0.0002440008515477255,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, x, f, f, f, 1, 1, 1, x, f, 1, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y, x, y, 1, x, 1, y, x, y","internal=[1, f, x, f, f, f, 1, 1, 1, x, f, 1, f, f] leaves=[1, x, x, 1, x, 1, 1, y, x, y, 1, x, 1, y, x, y]",no,training_failure,0,22.89
182,uniform,eq6,4,d4_T4,RR,EML,8.298804e-01,7.833690e-01,0.0004219032574409821,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, f, f, 1, f, 1, x, 1, f, 1, f |   Leaf routing:     1, x, x, 1, x, 1, y, x, x, y, x, x, 1, y, y, 1","internal=[1, f, 1, f, f, f, 1, f, 1, x, 1, f, 1, f] leaves=[1, x, x, 1, x, 1, y, x, x, y, x, x, 1, y, y, 1]",no,training_failure,0,21.0
183,uniform,eq6,4,d4_T4,RR,EML,7.297027e-01,7.435839e-01,0.00038917494002411513,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, x, f, f, f, 1, x, 1, x, 1, x, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, x, 1, y, 1, y, 1, x, y, y","internal=[1, f, x, f, f, f, 1, x, 1, x, 1, x, f, f] leaves=[1, x, x, 1, x, 1, 1, x, 1, y, 1, y, 1, x, y, y]",no,training_failure,0,20.25
184,uniform,eq6,4,d4_T4,RR,EML,0.000000e+00,0.000000e+00,7.919972156196027e-21,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, f, f, 1, 1, 1, 1, 1, f, f, f |   Leaf routing:     1, x, x, y, x, y, 1, x, x, y, x, x, 1, x, x, y","internal=[1, f, 1, f, f, f, 1, 1, 1, 1, 1, f, f, f] leaves=[1, x, x, y, x, y, 1, x, x, y, x, x, 1, x, x, y]",yes,exact,0,21.08
